2020-05-19 23:35:42,542 - server - DEBUG - [23:35:42.541967] {'start_x': 208.0, 'start_y': 142.0, 'end_x': 205.0, 'end_y': 181.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,559 - server - DEBUG - [23:35:42.559848] {'start_x': 205.0, 'start_y': 181.0, 'end_x': 205.0, 'end_y': 200.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,575 - server - DEBUG - [23:35:42.575595] {'start_x': 205.0, 'start_y': 200.0, 'end_x': 205.0, 'end_y': 219.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,591 - server - DEBUG - [23:35:42.591846] {'start_x': 205.0, 'start_y': 219.0, 'end_x': 205.0, 'end_y': 229.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,609 - server - DEBUG - [23:35:42.609070] {'start_x': 205.0, 'start_y': 229.0, 'end_x': 212.0, 'end_y': 242.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,624 - server - DEBUG - [23:35:42.624794] {'start_x': 212.0, 'start_y': 242.0, 'end_x': 218.0, 'end_y': 245.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,642 - server - DEBUG - [23:35:42.642302] {'start_x': 218.0, 'start_y': 245.0, 'end_x': 223.0, 'end_y': 246.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,658 - server - DEBUG - [23:35:42.658335] {'start_x': 223.0, 'start_y': 246.0, 'end_x': 227.0, 'end_y': 247.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:42,676 - server - DEBUG - [23:35:42.676714] {'start_x': 227.0, 'start_y': 247.0, 'end_x': 230.0, 'end_y': 247.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:43,518 - server - DEBUG - [23:35:43.518174] {'start_x': 301.0, 'start_y': 122.0, 'end_x': 301.0, 'end_y': 122.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:43,600 - server - DEBUG - [23:35:43.600042] {'start_x': 301.0, 'start_y': 122.0, 'end_x': 301.0, 'end_y': 122.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
2020-05-19 23:35:43,607 - server - DEBUG - [23:35:43.607243] {'start_x': 301.0, 'start_y': 122.0, 'end_x': 306.0, 'end_y': 127.0, 'width': 5, 'rgba': {'red': 0, 'green': 0, 'blue': 0, 'alpha': 255}}
